*,name,satellites,radius_km,semi_major_axis_au,eccentricity,inclination_deg,argument_of_periapsis_deg,longitude_of_ascending_node_deg,mean_anomaly_deg,density_g_cm3,type,,,,,,,,,,,SolSys_ID,Domain_ID
*,☾,S/2019 S (♄) 43,2 km,"26,664,100 km",0.277,165.3°,,,,?,,,,,,,,,,,,660,9
*,☾,S/2004 S (♄) 26,2 km,"26,737,800 km",0.148,171.3°,,,,?,,,,,,,,,,,,661,9
*,☾,S/2019 S (♄) 44,2 km,"26,796,900 km",0.512,172.6°,,,,?,,,,,,,,,,,,662,9
*,☾,S/2020 S (♄) 44,2 km,"27,259,400 km",0.199,168.5°,,,,?,,,,,,,,,,,,663,9
CEN,Thereus,0,41 km,10.64 AU,0.198,20.353°,86.322°,205.33°,192.91°,?,,,,,,,,,,,,664,10
CEN,Echeclus,0,30 km,10.68 AU,0.455,4.345°,162.889°,173.335°,7.511°,?,,,,,,,,,,,,665,10
CEN,Elatus,0,26 km,11.811 AU,0.38,5.245°,281.62°,87.158°,170.74°,?,,,,,,,,,,,,666,10
CEN,2015 DB216,0,51 km,12.944 AU,0.326,37.709°,237.99°,6.28°,314.27°,?,,,,,,,,,,,,667,10
⚷,Chiron,0,117 km,13.7 AU,0.377,6.93°,339.71°,209.27°,180.7°,?,,,,,,,,,,,,668,10
CEN,2011 GN27,0,99 km,15.755 AU,0.4,153.418°,32.702°,47.804°,178.622°,?,,,,,,,,,,,,669,10
CEN,Chariklo,0,127 km,15.822 AU,0.172,23.382°,242.9°,300.42°,77.67°,0.79 g/cm3,,,,,,,,,,,,670,10
CEN,2007 RH283,0,53 km,15.975 AU,0.336,21.321°,329.357°,286.508°,184.883°,?,,,,,,,,,,,,671,10
CEN,Bienor,0,99 km,16.444 AU,0.199,20.745°,153.374°,337.728°,318.473°,?,,,,,,,,,,,,672,10
CEN,Asbolus,0,39 km,17.966 AU,0.621,17.638°,290.06°,6.132°,71.41°,?,,,,,,,,,,,,673,10
CEN,Aphidas,0,48 km,17.99 AU,0.459,6.769°,215.74°,103.76°,200.78°,?,,,,,,,,,,,,674,10
TRJN,2011 QF99,0,30 km,19.04 AU,0.178,10.833°,288.25°,222.52°,283.84°,?,,,,,,,,,,,,675,11
TRJN,2014 YX49,0,39 km,19.13 AU,0.277,25.551°,280.584°,91.444°,75.587°,?,,,,,,,,,,,,676,11
♅,Uranus,29,"25,362 km",19.191 AU,0.047,0.773°,96.999°,74.006°,142.239°,1.27 g/cm3,,,,,,,,,,,,677,11
*,☾,Cordelia,20 km,"49,752 km",0,?,,,,1.79 g/cm3,,,,,,,,,,,,678,11
*,☾,Ophelia,22 km,"53,763 km",0.01,?,,,,0.87 g/cm3,,,,,,,,,,,,679,11
*,☾,S/2025 U (♅) 1,5 km,"56,250 km",0,?,,,,?,,,,,,,,,,,,680,11
*,☾,Bianca,26 km,"59,166 km",0.001,?,,,,?,,,,,,,,,,,,681,11
*,☾,Cressida,40 km,"61,767 km",0,?,,,,0.78 g/cm3,,,,,,,,,,,,682,11
*,☾,Desdemona,32 km,"62,658 km",0,?,,,,?,,,,,,,,,,,,683,11
*,☾,Juliet,47 km,"64,358 km",0.001,?,,,,?,,,,,,,,,,,,684,11
*,☾,Portia,68 km,"66,097 km",0,?,,,,?,,,,,,,,,,,,685,11
*,☾,Rosalind,36 km,"69,927 km",0,?,,,,?,,,,,,,,,,,,686,11
*,☾,Cupid,9 km,"74,392 km",0.001,?,,,,?,,,,,,,,,,,,687,11
*,☾,Belinda,45 km,"75,256 km",0,?,,,,?,,,,,,,,,,,,688,11
*,☾,Perdita,15 km,"76,417 km",0.001,?,,,,?,,,,,,,,,,,,689,11
*,☾,Puck,81 km,"86,004 km",0,?,,,,0.858 g/cm3,,,,,,,,,,,,690,11
*,☾,Mab,9 km,"97,736 km",0.004,?,,,,?,,,,,,,,,,,,691,11
*,☾,Miranda,239 km,"129,390 km",0.001,?,,,,1.148 g/cm3,,,,,,,,,,,,692,11
*,☾,Ariel,579 km,"190,090 km",0.001,?,,,,1.517 g/cm3,,,,,,,,,,,,693,11
*,☾,Umbriel,585 km,"266,000 km",0.004,?,,,,1.539 g/cm3,,,,,,,,,,,,694,11
*,☾,Titania,788 km,"435,910 km",0.001,?,,,,1.683 g/cm3,,,,,,,,,,,,695,11
*,☾,Oberon,761 km,"583,520 km",0.001,?,,,,1.682 g/cm3,,,,,,,,,,,,696,11
*,☾,Francisco,11 km,"4,276,000 km",0.146,145°,,,,?,,,,,,,,,,,,697,11
*,☾,Caliban,21 km,"7,163,810 km",0.077,139.908°,,,,?,,,,,,,,,,,,698,11
*,☾,Stephano,16 km,"7,951,400 km",0.235,143.6°,,,,?,,,,,,,,,,,,699,11
*,☾,S/2023 U (♅) 1,4 km,"7,976,600 km",0.25,143.9°,,,,?,,,,,,,,,,,,700,11
*,☾,Trinculo,9 km,"8,504,000 km",0.22,167°,,,,?,,,,,,,,,,,,701,11
*,☾,Sycorax,79 km,"12,193,230 km",0.484,153.228°,,,,?,,,,,,,,,,,,702,11
*,☾,Margaret,10 km,"14,345,000 km",0.661,57°,,,,?,,,,,,,,,,,,703,11
*,☾,Prospero,25 km,"16,256,000 km",0.445,152°,,,,?,,,,,,,,,,,,704,11
*,☾,Setebos,24 km,"17,418,000 km",0.591,158°,,,,?,,,,,,,,,,,,705,11
*,☾,Ferdinand,11 km,"20,901,000 km",0.368,170°,,,,?,,,,,,,,,,,,706,11
CEN,Crantor,0,30 km,19.454 AU,0.278,12.77°,93.203°,117.40°,63.889°,?,,,,,,,,,,,,707,10
CEN,2007 RG283,0,53 km,20.026 AU,0.237,28.746°,149.297°,311.829°,7.336°,?,,,,,,,,,,,,708,10
CEN,2003 WL7,0,59 km,20.045 AU,0.256,11.183°,69.997°,4.622°,41.329°,?,,,,,,,,,,,,709,10
CEN,Pholus,0,54 km,20.348 AU,0.57,24.617°,345.77°,119.44°,117.26°,?,,,,,,,,,,,,710,10
CEN,2003 QC112,0,51 km,20.601 AU,0.273,18.229°,21.378°,158.614°,235.412°,?,,,,,,,,,,,,711,10
CEN,2016 QF86,0,58 km,21.16 AU,0.31,13.656°,226.307°,275.094°,229.904°,?,,,,,,,,,,,,712,10
CEN,2014 JG80,0,73 km,21.21 AU,0.291,32.824°,324.797°,94.625°,210.272°,?,,,,,,,,,,,,713,10
CEN,2010 PL66,0,72 km,21.316 AU,0.384,24.281°,95.808°,8.513°,318.147°,?,,,,,,,,,,,,714,10
CEN,2015 BJ518,0,59 km,21.428 AU,0.313,6.426°,325.851°,328.457°,299.573°,?,,,,,,,,,,,,715,10
CEN,2010 FB49,0,89 km,22.448 AU,0.197,24.423°,172.078°,184.907°,233.187°,?,,,,,,,,,,,,716,10
CEN,2010 UU110,0,53 km,22.519 AU,0.235,26.796°,10.948°,15.532°,100.612°,?,,,,,,,,,,,,717,10
CEN,2010 LO33,0,54 km,22.947 AU,0.317,17.864°,81.7°,241.205°,356.591°,?,,,,,,,,,,,,718,10
CEN,2002 GZ32,0,116 km,23.079 AU,0.219,15°,154.89°,107.22°,345.12°,?,,,,,,,,,,,,719,10
CEN,2014 NW65,0,107 km,23.286 AU,0.52,20.424°,232.73°,216.01°,311.34°,?,,,,,,,,,,,,720,10
CEN,2014 FB72,0,52 km,23.723 AU,0.345,17.045°,283.482°,245.256°,49.389°,?,,,,,,,,,,,,721,10
CEN,2013 HX156,0,65 km,24.338 AU,0.199,14.913°,260.477°,137.188°,220.009°,?,,,,,,,,,,,,722,10
CEN,2013 MZ11,0,68 km,24.395 AU,0.311,6.363°,19.577°,19.92°,336.26°,?,,,,,,,,,,,,723,10
CEN,Nessus,0,29 km,24.639 AU,0.519,15.663°,170.96°,31.183°,80.046°,?,,,,,,,,,,,,724,10
CEN,2005 RL43,0,72 km,24.662 AU,0.042,12.257°,178.411°,162.501°,90.602°,?,,,,,,,,,,,,725,10
CEN,2010 TV191,0,62 km,24.884 AU,0.126,11.497°,40.667°,200.392°,208.072°,?,,,,,,,,,,,,726,10
CEN,Amycus,0,52 km,25.098 AU,0.395,13.352°,239.17°,315.45°,37.041°,?,,,,,,,,,,,,727,10
CEN,Hylonome,0,36 km,25.152 AU,0.248,4.144°,7.028°,178.08°,63.271°,?,,,,,,,,,,,,728,10
CEN,2013 TC146,0,121 km,25.352 AU,0.16,14.172°,55.475°,147.512°,114.1°,?,,,,,,,,,,,,729,10
CEN,2010 PC88,0,73 km,25.979 AU,0.047,18.017°,144.667°,131.645°,125.776°,?,,,,,,,,,,,,730,10
CEN,Cyllarus,0,31 km,26.113 AU,0.378,12.651°,300.77°,52.073°,75.673°,?,,,,,,,,,,,,731,10
CEN,2010 CD270,0,67 km,27.348 AU,0.088,19.557°,80.519°,123.594°,347.808°,?,,,,,,,,,,,,732,10
CEN,2015 BH518,0,67 km,27.745 AU,0.088,10.953°,259.63°,256.082°,30.004°,?,,,,,,,,,,,,733,10
CEN,2015 XW379,0,102 km,27.808 AU,0.375,11.899°,49.705°,144.21°,339.64°,?,,,,,,,,,,,,734,10
CEN,2010 GX34,0,57 km,28.721 AU,0.423,11.56°,356.89°,279.219°,12.231°,?,,,,,,,,,,,,735,10
CEN,2005 RO43,0,106 km,28.856 AU,0.519,35.455°,326.56°,198.06°,340.61°,?,,,,,,,,,,,,736,10
CEN,2009 ME10,0,62 km,29.147 AU,0.238,14.5°,347.548°,345.371°,359.803°,?,,,,,,,,,,,,737,10
CEN,2012 VU85,0,97 km,29.398 AU,0.313,15.043°,264.403°,252.5°,332.71°,?,,,,,,,,,,,,738,10
CEN,2015 BE518,0,55 km,29.514 AU,0.432,16.563°,201.948°,8.582°,353.717°,?,,,,,,,,,,,,739,10
TRJN,2006 RJ103,0,65 km,29.925 AU,0.031,8.154°,33.563°,120.86°,251.55°,?,,,,,,,,,,,,740,12
TRJN,2007 VL305,0,55 km,29.926 AU,0.06,28.155°,216.7°,188.69°,10.76°,?,,,,,,,,,,,,741,12
TRJN,2014 QO441,0,55 km,30.01 AU,0.11,18.8°,114.1°,107°,170.4°,?,,,,,,,,,,,,742,12
TRJN,Otrera,0,37 km,30.027 AU,0.023,1.433°,3.533°,34.761°,355.52°,?,,,,,,,,,,,,743,12
TRJN,Clete,0,49 km,30.055 AU,0.051,5.255°,306.84°,169.4°,286.36°,?,,,,,,,,,,,,744,12
TRJN,2008 LC18,0,49 km,30.056 AU,0.08,27.496°,6.742°,88.493°,185.24°,?,,,,,,,,,,,,745,12
TRJN,2013 KY18,0,111 km,30.059 AU,0.122,6.671°,272.741°,84.424°,290.781°,?,,,,,,,,,,,,746,12
♆,Neptune,16,"24,622 km",30.07 AU,0.009,1.77°,273.187°,131.783°,259.883°,1.638 g/cm3,,,,,,,,,,,,747,12
*,☾,Naiad,30 km,"48,224 km",0.005,?,,,,0.8 g/cm3,,,,,,,,,,,,748,12
*,☾,Thalassa,41 km,"50,075 km",0.002,?,,,,1.23 g/cm3,,,,,,,,,,,,749,12
*,☾,Despina,78 km,"52,526 km",0,?,,,,0.6 g/cm3,,,,,,,,,,,,750,12
*,☾,Galatea,87 km,"61,953 km",0,?,,,,?,,,,,,,,,,,,751,12
*,☾,Larissa,97 km,"73,548 km",0.001,?,,,,0.811 g/cm3,,,,,,,,,,,,752,12
*,☾,Hippocamp,17 km,"105,283 km",0.001,?,,,,?,,,,,,,,,,,,753,12
*,☾,Proteus,210 km,"117,647 km",0.001,?,,,,0.685 g/cm3,,,,,,,,,,,,754,12
*,☾,Triton,"1,353 km","354,759 km",0,129.812°,,,,2.061 g/cm3,,,,,,,,,,,,755,12
*,☾,Nereid,179 km,"5,504,000 km",0.749,5.8°,,,,1.5 g/cm3,,,,,,,,,,,,756,12
*,☾,Halimede,31 km,"16,611,000 km",0.265,?,,,,?,,,,,,,,,,,,757,12
*,☾,Sao,22 km,"22,228,000 km",0.137,?,,,,?,,,,,,,,,,,,758,12
*,☾,S/2002 N (♆) 5,12 km,"23,414,700 km",0.433,46.3°,,,,?,,,,,,,,,,,,759,12
*,☾,Laomedeia,21 km,"23,613,000 km",0.397,?,,,,?,,,,,,,,,,,,760,12
*,☾,Psamathe,20 km,"47,615,100 km",0.414,?,,,,?,,,,,,,,,,,,761,12
*,☾,Neso,30 km,"49,598,300 km",0.455,?,,,,?,,,,,,,,,,,,762,12
*,☾,S/2021 N (♆) 1,7 km,"50,700,200 km",0.503,50.2°,,,,?,,,,,,,,,,,,763,12
TRJN,2001 QR322,0,66 km,30.115 AU,0.028,1.325°,151.11°,151.75°,86.551°,?,,,,,,,,,,,,764,12
CEN,2007 RW10,0,124 km,30.179 AU,0.302,36.157°,95.65°,187.064°,71.529°,?,,,,,,,,,,,,765,10
TRJN,2011 HM102,0,50 km,30.219 AU,0.085,29.348°,151.24°,100.97°,33.571°,?,,,,,,,,,,,,766,12
TRJN,2011 WG157,0,78 km,30.226 AU,0.023,22.29°,204.739°,352.103°,236.962°,?,,,,,,,,,,,,767,12
TRJN,2010 TS191,0,54 km,30.227 AU,0.053,6.561°,299.105°,129.603°,0.174°,?,,,,,,,,,,,,768,12
TRJN,2014 RO74,0,52 km,30.237 AU,0.046,29.529°,118.7°,152.416°,137.96°,?,,,,,,,,,,,,769,12
TRJN,2015 VU207,0,89 km,30.241 AU,0.035,38.902°,30.626°,114.214°,258.698°,?,,,,,,,,,,,,770,12
TRJN,2014 UU240,0,59 km,30.245 AU,0.048,35.678°,65.96°,82.059°,266.338°,?,,,,,,,,,,,,771,12
TRJN,2013 RC158,0,43 km,30.256 AU,0.054,7.438°,79.988°,81.629°,243.222°,?,,,,,,,,,,,,772,12
TRJN,2014 SC374,0,59 km,30.263 AU,0.093,33.699°,43.941°,176.192°,196.136°,?,,,,,,,,,,,,773,12
TRJN,2010 TT191,0,69 km,30.275 AU,0.064,4.263°,8.261°,249.249°,183.212°,?,,,,,,,,,,,,774,12
CEN,2010 KR59,0,52 km,30.279 AU,0.57,19.638°,108.73°,46.808°,14.936°,?,,,,,,,,,,,,775,10
TRJN,2013 RL124,0,43 km,30.285 AU,0.031,10.13°,243.861°,166.833°,354.863°,?,,,,,,,,,,,,776,12
TRJN,2013 VX30,0,56 km,30.306 AU,0.09,31.221°,216.603°,192.462°,10.907°,?,,,,,,,,,,,,777,12
TRJN,2015 VW165,0,52 km,30.31 AU,0.053,4.988°,58.108°,78.941°,295.885°,?,,,,,,,,,,,,778,12
TRJN,2013 TZ187,0,59 km,30.336 AU,0.068,13.152°,353.37°,155.535°,266.43°,?,,,,,,,,,,,,779,12
TRJN,2014 YB92,0,48 km,30.353 AU,0.101,30.773°,43.174°,101.057°,273.017°,?,,,,,,,,,,,,780,12
TRJN,2011 SO277,0,63 km,30.367 AU,0.005,9.633°,120.006°,113.576°,169.957°,?,,,,,,,,,,,,781,12
TRJN,2004 KV18,0,36 km,30.37 AU,0.187,13.557°,296.57°,235.54°,69.474°,?,,,,,,,,,,,,782,12
TRJN,2012 UD185,0,77 km,30.382 AU,0.038,28.227°,353.854°,246.217°,182.986°,?,,,,,,,,,,,,783,12
CEN,2010 DF106,0,67 km,30.395 AU,0.152,28.752°,178.276°,15.736°,351.658°,?,,,,,,,,,,,,784,10
TRJN,2010 EN65,0,88 km,30.758 AU,0.312,19.209°,225.77°,234.47°,48.107°,?,,,,,,,,,,,,785,12
CEN,2016 AE193,0,59 km,31.078 AU,0.469,10.25°,171.267°,292.286°,21.866°,?,,,,,,,,,,,,786,10
CEN,2002 PN34,0,56 km,31.122 AU,0.568,16.62°,358.92°,299.227°,47.517°,?,,,,,,,,,,,,787,10
CEN,2013 RA156,0,71 km,31.154 AU,0.078,13.047°,158.704°,35.931°,202.103°,?,,,,,,,,,,,,788,10
CEN,2015 GV55,0,84 km,31.294 AU,0.306,28.365°,234.441°,206.675°,113.227°,?,,,,,,,,,,,,789,10
CEN,2010 JG210,0,53 km,31.625 AU,0.458,26.981°,170.785°,131.433°,348.56°,?,,,,,,,,,,,,790,10
CEN,2013 EH154,0,71 km,31.673 AU,0.194,8.18°,354.949°,267.362°,324.608°,?,,,,,,,,,,,,791,10
CEN,2002 FY36,0,55 km,31.844 AU,0.293,5.355°,255.556°,332.665°,10.326°,?,,,,,,,,,,,,792,10
CEN,1999 OX3,0,78 km,32.083 AU,0.452,2.625°,144.53°,259.1°,347.21°,?,,,,,,,,,,,,793,10
CEN,2014 MX69,0,88 km,32.244 AU,0.271,10.869°,69.984°,178.418°,72.196°,?,,,,,,,,,,,,794,10
CEN,2015 SP21,0,81 km,32.442 AU,0.107,38.029°,154.639°,22.256°,179.482°,?,,,,,,,,,,,,795,10
CEN,2008 AU138,0,102 km,32.509 AU,0.369,42.83°,252.7°,50.604°,197.08°,?,,,,,,,,,,,,796,10
CEN,2003 UR292,0,68 km,32.574 AU,0.178,2.7°,248.3°,146.4°,358.4°,?,,,,,,,,,,,,797,10
CEN,2013 RD109,0,62 km,32.605 AU,0.086,11.1°,335.923°,16.679°,29.946°,?,,,,,,,,,,,,798,10
CEN,2004 LB33,0,56 km,33.087 AU,0.223,4.519°,204.596°,243.277°,179.681°,?,,,,,,,,,,,,799,10
CEN,1998 BU48,0,103 km,33.243 AU,0.386,14.25°,282.7°,132.79°,75.9°,?,,,,,,,,,,,,800,10
KBO,2016 QB135,0,67 km,33.346 AU,0.106,14.958°,322.203°,192.138°,228.557°,?,,,,,,,,,,,,801,14
KBO,2014 DU143,0,92 km,36.35 AU,0.138,13.6°,190.24°,144.54°,237.9°,?,,,,,,,,,,,,802,14
CEN,2014 GS53,0,116 km,33.39 AU,0.097,15.17°,331.5°,132.41°,118.11°,?,,,,,,,,,,,,803,10
CEN,2010 GF65,0,96 km,33.59 AU,0.341,12.407°,284.36°,0.421°,333.86°,?,,,,,,,,,,,,804,10
CEN,2004 MW8,0,53 km,33.679 AU,0.337,8.208°,94.286°,289.617°,337.739°,?,,,,,,,,,,,,805,10
CEN,2013 TS227,0,71 km,33.84 AU,0.326,24.291°,327.285°,180.611°,294.746°,?,,,,,,,,,,,,806,10
CEN,2007 NC7,0,53 km,34.16 AU,0.506,6.302°,286.77°,324.12°,37.817°,?,,,,,,,,,,,,807,10
CEN,2002 GG166,0,63 km,34.306 AU,0.589,7.716°,275.305°,33.037°,352.017°,?,,,,,,,,,,,,808,10
CEN,2004 TE282,0,61 km,34.676 AU,0.161,20.646°,78.132°,45.7°,339.23°,?,,,,,,,,,,,,809,10
KBO,1999 CP133,0,77 km,34.801 AU,0.082,3.2°,155.4°,334.3°,45.5°,?,,,,,,,,,,,,810,14
KBO,2012 HH2,0,127 km,34.808 AU,0.161,28.585°,100.49°,56.464°,40.568°,?,,,,,,,,,,,,811,14
CEN,2013 FJ28,0,67 km,34.841 AU,0.44,21.891°,78.96°,184.94°,333.51°,?,,,,,,,,,,,,812,10
CEN,2013 FN28,0,61 km,35.184 AU,0.423,8.656°,250.437°,299.153°,12.601°,?,,,,,,,,,,,,813,10
CEN,Taowu,0,81 km,35.604 AU,0.332,110.154°,322.174°,243.778°,29.487°,?,,,,,,,,,,,,814,10
KBO,2016 FR59,0,99 km,36.08 AU,0.038,10.25°,120.73°,300.8°,121.11°,?,,,,,,,,,,,,815,14
KBO,2015 BM518,0,105 km,36.213 AU,0.12,8.826°,295.54°,262.45°,355.17°,?,,,,,,,,,,,,816,14
CEN,2013 TY227,0,69 km,36.249 AU,0.242,36.427°,234.612°,32.418°,97.475°,?,,,,,,,,,,,,817,10
KBO,1998 UU43,0,84 km,36.273 AU,0.128,9.6°,280.8°,231.36°,292.6°,?,,,,,,,,,,,,818,14
KBO,2014 QY441,0,145 km,36.4 AU,0.08,10.17°,119.2°,79.67°,243.9°,?,,,,,,,,,,,,819,14
KBO,2010 VL201,0,133 km,36.51 AU,0.046,5.53°,342.4°,104.003°,336.7°,?,,,,,,,,,,,,820,14
KBO,2009 YS26,0,107 km,36.53 AU,0.026,6.56°,255.4°,142.97°,81.72°,?,,,,,,,,,,,,821,14
CEN,2014 LN28,0,59 km,36.549 AU,0.555,8.695°,159.453°,197.191°,1.737°,?,,,,,,,,,,,,822,10
KBO,2005 GH228,0,56 km,36.619 AU,0.188,17.146°,208.835°,311.815°,7.542°,?,,,,,,,,,,,,823,14
KBO,2003 QP91,0,88 km,36.71 AU,0.096,6.52°,200.27°,26.63°,143.82°,?,,,,,,,,,,,,824,14
KBO,2015 KK178,0,108 km,36.85 AU,0.017,22.92°,134.17°,240.56°,244.74°,?,,,,,,,,,,,,825,14
KBO,2001 QT322,0,125 km,37 AU,0.017,1.8°,68.7°,224.4°,71.8°,?,,,,,,,,,,,,826,14
CEN,Xewioso,0,287 km,37.36 AU,0.253,14.383°,247.18°,46.928°,145.37°,?,,,,,,,,,,,,827,10
KBO,2014 DJ143,0,115 km,37.8 AU,0.015,6.94°,98.2°,99.73°,45.21°,?,,,,,,,,,,,,828,14
CEN,2012 GX17,0,65 km,37.385 AU,0.547,32.54°,243.627°,209.239°,49.289°,?,,,,,,,,,,,,829,10
KBO,2014 HV199,0,116 km,37.83 AU,0.02,24.42°,302.18°,87.94°,208.05°,?,,,,,,,,,,,,830,14
CEN,2014 VC41,0,64 km,38.048 AU,0.243,46.484°,315.443°,97.803°,1.034°,?,,,,,,,,,,,,831,10
KBO,1998 SN165,0,222 km,38.058 AU,0.042,4.599°,257.82°,192.07°,301.71°,?,,,,,,,,,,,,832,14
CEN,Typhon,1,81 km,38.264 AU,0.542,2.425°,159.322°,351.91°,14.619°,0.66 g/cm3,,,,,,,,,,,,833,10
*,☾,Echidna,45 km,"1,300 km",?,?,,,,?,,,,,,,,,,,,834,10
CEN,2013 SY112,0,70 km,38.282 AU,0.31,13.463°,257.266°,343.719°,95.106°,?,,,,,,,,,,,,835,10
KBO,2014 QX441,0,174 km,38.32 AU,0.036,26.02°,295°,43.84°,26.33°,?,,,,,,,,,,,,836,14
KBO,2014 KS101,0,108 km,38.48 AU,0.272,24.15°,64.61°,217.61°,346.7°,?,,,,,,,,,,,,837,14
KBO,2014 OG394,0,107 km,38.72 AU,0.047,4.4°,207.2°,127.35°,295.27°,?,,,,,,,,,,,,838,14
KBO,2003 YL179,0,88 km,38.74 AU,0.003,2.53°,106.4°,262.14°,87.7°,?,,,,,,,,,,,,839,14
KBO,Rhadamanthus,0,91 km,38.777 AU,0.155,12.793°,82.178°,9.962°,97.148°,?,,,,,,,,,,,,840,14
KBO,2004 TY364,0,267 km,38.78 AU,0.067,24.85°,359.71°,140.614°,265.93°,?,,,,,,,,,,,,841,14
KBO,2010 FC49,0,141 km,38.82 AU,0.051,39.804°,304.847°,1.788°,259.808°,?,,,,,,,,,,,,842,14
CEN,2010 TY53,0,163 km,38.826 AU,0.457,22.461°,3.436°,111.23°,324.76°,?,,,,,,,,,,,,843,10
KBO,2015 BG519,0,111 km,38.836 AU,0.029,34.381°,358.302°,330.672°,216.485°,?,,,,,,,,,,,,844,14
KBO,2000 YB2,0,90 km,38.84 AU,0.032,3.82°,210.15°,135.49°,100.44°,?,,,,,,,,,,,,845,14
KBO,2002 KX14,0,214 km,38.867 AU,0.042,0.404°,71.686°,286.686°,261.303°,0.9 g/cm3,,,,,,,,,,,,846,14
KBO,2004 UX10,0,181 km,38.871 AU,0.044,9.532°,149.15°,147.9°,102.254°,?,,,,,,,,,,,,847,14
KBO,2002 GN32,0,121 km,39 AU,0.18,12.44°,102.05°,222.5°,306.9°,?,,,,,,,,,,,,848,14
KBO,Mors,1,51 km,39.012 AU,0.261,11.304°,205.32°,196.75°,0.468°,?,,,,,,,,,,,,849,14
*,☾,Somnus,49 km,"21,000 km",0.153,?,,,,?,,,,,,,,,,,,850,14
KBO,2002 VU130,0,128 km,39.018 AU,0.207,1.376°,281.56°,267.86°,278.86°,?,,,,,,,,,,,,851,14
KBO,2004 PF115,0,203 km,39.069 AU,0.065,13.346°,87.197°,84.441°,167.19°,?,,,,,,,,,,,,852,14
KBO,2003 FL127,0,118 km,39.084 AU,0.241,3.501°,55.89°,314.35°,169.23°,?,,,,,,,,,,,,853,14
CEN,2015 BF519,0,59 km,39.091 AU,0.32,19.187°,266.11°,290.282°,352.873°,?,,,,,,,,,,,,854,10
KBO,2003 UZ413,0,281 km,39.104 AU,0.227,12.049°,145°,135.93°,113.43°,2.645 g/cm3,,,,,,,,,,,,855,14
KBO,1998 WV24,0,49 km,39.11 AU,0.04,1.51°,164.12°,183.55°,87.96°,?,,,,,,,,,,,,856,14
KBO,2014 DR143,0,158 km,39.13 AU,0.296,10.31°,355.8°,39.88°,141.05°,?,,,,,,,,,,,,857,14
KBO,2003 QB91,0,114 km,39.13 AU,0.196,6.503°,79.86°,136.89°,145.6°,?,,,,,,,,,,,,858,14
KBO,2010 HE79,0,200 km,39.16 AU,0.183,15.69°,283.3°,238.68°,60.18°,?,,,,,,,,,,,,859,14
🝿,Orcus,1,455 km,39.174 AU,0.227,20.592°,72.31°,268.799°,181.735°,1.4 g/cm3,,,,,,,,,,,,860,13
*,☾,Vanth,221 km,"9,000 km",0.001,90.54°,,,,1.7 g/cm3,,,,,,,,,,,,861,13
KBO,2002 VE95,0,125 km,39.176 AU,0.288,16.327°,206.35°,199.72°,29.369°,?,,,,,,,,,,,,862,14
KBO,2007 JF43,0,188 km,39.181 AU,0.183,15.106°,124.009°,207.605°,304.067°,?,,,,,,,,,,,,863,14
KBO,2010 VX11,0,119 km,39.2 AU,0.28,22.3°,292.6°,170.6°,346.2°,?,,,,,,,,,,,,864,14
KBO,2004 VT75,0,124 km,39.222 AU,0.214,12.858°,271.32°,26.62°,80.305°,?,,,,,,,,,,,,865,14
KBO,2001 RX143,0,110 km,39.23 AU,0.295,19.28°,239.4°,20.58°,99.64°,?,,,,,,,,,,,,866,14
KBO,2001 QF298,0,208 km,39.241 AU,0.114,22.408°,41.215°,164.24°,154.29°,?,,,,,,,,,,,,867,14
KBO,2014 MH70,0,153 km,39.27 AU,0.174,3.28°,89.4°,97.63°,138.5°,?,,,,,,,,,,,,868,14
KBO,2001 KY76,0,137 km,39.263 AU,0.235,3.975°,263.07°,90.07°,306.9°,?,,,,,,,,,,,,869,14
KBO,2003 WU172,0,139 km,39.269 AU,0.257,4.14°,100.87°,10.48°,352.311°,?,,,,,,,,,,,,870,14
KBO,2003 QX111,0,219 km,39.282 AU,0.129,9.525°,102.779°,157.464°,111.466°,?,,,,,,,,,,,,871,14
KBO,2008 SO266,0,127 km,39.289 AU,0.237,18.81°,173.45°,158.8°,35.93°,?,,,,,,,,,,,,872,14
KBO,2007 JF45,0,150 km,39.306 AU,0.084,11.016°,341.35°,175.45°,95.93°,?,,,,,,,,,,,,873,14
KBO,2012 DB99,0,121 km,39.306 AU,0.192,9.723°,41.691°,48.405°,99.315°,?,,,,,,,,,,,,874,14
KBO,2013 PE84,0,113 km,39.311 AU,0.146,8.87°,222.09°,87.36°,34.36°,?,,,,,,,,,,,,875,14
KBO,2002 VR128,0,227 km,39.325 AU,0.263,14.04°,287.87°,23.152°,73.453°,?,,,,,,,,,,,,876,14
KBO,2009 YT26,0,111 km,39.33 AU,0.176,10.17°,20.14°,85.01°,8.09°,?,,,,,,,,,,,,877,14
KBO,2014 JK80,0,120 km,39.338 AU,0.199,19.98°,153.93°,157.14°,319.51°,?,,,,,,,,,,,,878,14
KBO,2001 RU143,0,123 km,39.353 AU,0.152,6.53°,19.43°,209.212°,157.1°,?,,,,,,,,,,,,879,14
KBO,2014 MF70,0,104 km,39.36 AU,0.245,4.72°,185.11°,126.02°,322.03°,?,,,,,,,,,,,,880,14
KBO,Achlys,1,386 km,39.362 AU,0.183,13.596°,15.211°,252.202°,232.611°,0.87 g/cm3,,,,,,,,,,,,881,14
*,☾,S/2005 (208996) 1,36 km,"7,200 km",?,?,,,,?,,,,,,,,,,,,882,14
