*,name,satellites,radius_km,semi_major_axis_au,eccentricity,inclination_deg,argument_of_periapsis_deg,longitude_of_ascending_node_deg,mean_anomaly_deg,density_g_cm3,type,,,,,,,,,,,SolSys_ID,Domain_ID
ASTR,Cava,0,58 km,2.683 AU,0.246,9.841°,337.156°,90.876°,219.54°,?,,,,,,,,,,,,84,6
ASTR,Circe,0,57 km,2.687 AU,0.105,5.498°,330.233°,184.442°,39.805°,4.83 g/cm3,,,,,,,,,,,,85,6
ASTR,Ianthe,0,53 km,2.688 AU,0.186,15.578°,158.686°,354°,262.019°,1.42 g/cm3,,,,,,,,,,,,86,6
ASTR,Concordia,0,47 km,2.701 AU,0.043,5.057°,34.465°,161.29°,15.122°,1.38 g/cm3,,,,,,,,,,,,87,6
ASTR,Alexandra,0,77 km,2.712 AU,0.196,11.804°,345.594°,313.446°,103.809°,3.5 g/cm3,,,,,,,,,,,,88,6
ASTR,Elpis,0,82 km,2.715 AU,0.117,8.631°,210.901°,170.209°,246.848°,1.3 g/cm3,,,,,,,,,,,,89,6
ASTR,Lucina,0,66 km,2.718 AU,0.067,13.095°,146.982°,83.969°,198.102°,2 g/cm3,,,,,,,,,,,,90,6
ASTR,Eugenia,2,94 km,2.72 AU,0.082,6.61°,85.137°,147.939°,45.254°,1.287 g/cm3,,,,,,,,,,,,91,6
*,☾,S/2004 (45) 1,3 km,700 km,?,?,,,,?,,,,,,,,,,,,92,6
*,☾,Petit-Prince,7 km,"1,184 km",0.01,?,,,,?,,,,,,,,,,,,93,6
ASTR,Chloris,0,60 km,2.724 AU,0.242,10.963°,172.945°,96.94°,125.79°,7.72 g/cm3,,,,,,,,,,,,94,6
ASTR,Xanthippe,0,60 km,2.727 AU,0.227,9.782°,338.29°,241.83°,34.237°,7.86 g/cm3,,,,,,,,,,,,95,6
ASTR,Lamberta,0,71 km,2.728 AU,0.241,10.588°,196.93°,21.707°,217.42°,1.395 g/cm3,,,,,,,,,,,,96,6
ASTR,Siwa,0,55 km,2.733 AU,0.216,3.186°,196.711°,107.263°,200.674°,?,,,,,,,,,,,,97,6
ASTR,Pompeja,0,62 km,2.737 AU,0.059,3.178°,57.06°,347.916°,47.638°,1.626 g/cm3,,,,,,,,,,,,98,6
ASTR,Mandeville,0,53 km,2.737 AU,0.143,20.66°,45.543°,136.609°,276.654°,1.88 g/cm3,,,,,,,,,,,,99,6
ASTR,Flammario,0,49 km,2.737 AU,0.286,15.869°,286.97°,115.44°,10.84°,1.606 g/cm3,,,,,,,,,,,,100,6
ASTR,Dynamene,0,65 km,2.737 AU,0.133,6.896°,85.089°,324.57°,10.506°,9.14 g/cm3,,,,,,,,,,,,101,6
ASTR,Eunike,0,79 km,2.738 AU,0.129,23.238°,224.01°,153.84°,327.48°,1.64 g/cm3,,,,,,,,,,,,102,6
ASTR,Brixia,0,58 km,2.74 AU,0.283,10.596°,316.01°,89.665°,308.887°,?,,,,,,,,,,,,103,6
ASTR,Hersilia,0,57 km,2.741 AU,0.037,3.779°,299.705°,145.169°,348.975°,?,,,,,,,,,,,,104,6
ASTR,Aquitania,0,51 km,2.741 AU,0.235,18.113°,157.14°,128.24°,330.99°,3.156 g/cm3,,,,,,,,,,,,105,6
ASTR,Emita,0,54 km,2.742 AU,0.156,9.84°,349.783°,66.753°,141.033°,8.95 g/cm3,,,,,,,,,,,,106,6
ASTR,Ino,0,73 km,2.743 AU,0.209,14.197°,228.89°,148.18°,307.27°,1.815 g/cm3,,,,,,,,,,,,107,6
ASTR,Eukrate,0,67 km,2.743 AU,0.243,24.991°,54.969°,0.164°,75.989°,1.693 g/cm3,,,,,,,,,,,,108,6
ASTR,Atalante,0,55 km,2.747 AU,0.303,18.432°,47.132°,358.472°,47.005°,1.672 g/cm3,,,,,,,,,,,,109,6
ASTR,Nemesis,0,82 km,2.75 AU,0.127,6.245°,303.82°,76.243°,345.49°,1.66 g/cm3,,,,,,,,,,,,110,6
ASTR,Polyxo,0,70 km,2.75 AU,0.04,4.361°,115.501°,181.727°,70.419°,?,,,,,,,,,,,,111,6
